web_pages,country,state-province,name,alpha_two_code,domains
['http://www.itc.mx/'],Mexico,,Instituto Tecnológico de Celaya,MX,itc.mx
['http://www.itdurango.edu.mx/'],Mexico,,Instituto Tecnologico de Durango,MX,itdurango.edu.mx
['https://www.tec.mx/'],Mexico,Nuevo Leon,Tecnologico de Monterrey,MX,tec.mx
['http://www.iteso.mx/'],Mexico,,Instituto Tecnológico y de Estudios Superiores de Occidente,MX,iteso.mx
['http://www.itleon.edu.mx/'],Mexico,,Instituto Tecnológico de León,MX,itleon.edu.mx
['http://www.itmina.edu.mx/'],Mexico,,Instituto Tecnologico de Minatitlan,MX,itmina.edu.mx
['http://www.itmorelia.edu.mx/'],Mexico,,Instituto Tecnológico de Morelia,MX,itmorelia.edu.mx
['http://www.itq.edu.mx/'],Mexico,,Instituto Tecnológico de Querétaro,MX,itq.edu.mx
['http://www.itslp.edu.mx/'],Mexico,,Instituto Tecnológico de San Luis Potosí,MX,itslp.edu.mx
['http://www.itson.mx/'],Mexico,,Instituto Tecnológico de Sonora,MX,itson.mx
['http://www.iztapalapa.uam.mx/'],Mexico,,Universidad Autónoma Metropolitana - Iztapalapa,MX,iztapalapa.uam.mx
['http://www.lef.upn.mx/'],Mexico,,"Universidad Pedagógica Nacional, Unidad León",MX,lef.upn.mx
['http://www.leon.uia.mx/'],Mexico,,"Universidad Iberoamericana, Campus León",MX,leon.uia.mx
['http://members.rotfl.com/uvp/'],Mexico,,Universidad del Valle de Puebla,MX,members.rotfl.com
['http://www.motolinia.com.mx/'],Mexico,,Universidad Motolinía del Pedregal,MX,motolinia.com.mx
['http://www.olmeca.edu.mx/'],Mexico,,Universidad Olmeca,MX,olmeca.edu.mx
['http://www.poligto.edu.mx/'],Mexico,,Politécnico de Guanajuato,MX,poligto.edu.mx
['http://www.reduaeh.mx/'],Mexico,,Universidad Autónoma del Estado de Hidalgo,MX,reduaeh.mx
['http://www.reduaz.mx/'],Mexico,,Universidad Autónoma de Zacatecas,MX,reduaz.mx
['http://www.secupv.org/'],Mexico,,Universidad Pedagógica Veracruzana,MX,secupv.org
['http://www.tecbc.mx/'],Mexico,,"Tecnologico de Baja California, Universidad",MX,tecbc.mx
['http://www.tepeyac.edu.mx/'],Mexico,,Universidad del Tepeyac,MX,tepeyac.edu.mx
['http://www.ties.com.mx/'],Mexico,,Instituto de Estudios Superiores de la Sierra,MX,ties.com.mx
['http://www.uaaan.mx/'],Mexico,,"Universidad Autónoma Agraria ""Antonio Narro""",MX,uaaan.mx
['http://www.uaa.mx:8001/'],Mexico,,Universidad Autónoma de Aguascalientes,MX,uaa.mx
['http://www.uabc.mx/'],Mexico,,Universidad Autónoma de Baja California,MX,uabc.mx
['http://www.uabcs.mx/'],Mexico,,Universidad Autónoma de Baja California Sur,MX,uabcs.mx
