web_pages,country,state-province,name,alpha_two_code,domains
['http://www.uaaan.mx/'],Mexico,Desconocido,"Universidad Autónoma Agraria ""Antonio Narro""",MX,uaaan.mx
['http://www.uaa.mx:8001/'],Mexico,Desconocido,Universidad Autónoma de Aguascalientes,MX,uaa.mx
['http://www.uabc.mx/'],Mexico,Desconocido,Universidad Autónoma de Baja California,MX,uabc.mx
['http://www.uabcs.mx/'],Mexico,Desconocido,Universidad Autónoma de Baja California Sur,MX,uabcs.mx
['http://www.uabjo.mx/'],Mexico,Desconocido,"Universidad Autónoma ""Benito Juárez"" de Oaxaca",MX,uabjo.mx
['http://www.uacam.mx/'],Mexico,Desconocido,Universidad Autónoma de Campeche,MX,uacam.mx
['http://www.uach.mx/'],Mexico,Desconocido,Universidad Autónoma de Chihuahua,MX,uach.mx
['http://itsncg.edu.mx/'],Mexico,Desconocido,Instituto Tecnológico Superior de Nuevo Casas Grandes,MX,itsncg.edu.mx
['http://www.uacj.mx/'],Mexico,Desconocido,Universidad Autónoma de Ciudad Juárez,MX,uacj.mx
['http://www.uacm.edu.mx/'],Mexico,Desconocido,Universidad Autónoma de la Ciudad de México,MX,uacm.edu.mx
['http://www.uadec.mx/'],Mexico,Desconocido,Universidad Autónoma de Coahuila,MX,uadec.mx
['http://www.uad.edu.mx/'],Mexico,Desconocido,Universidad Autonoma de Durango,MX,uad.edu.mx
['http://www.uady.mx/'],Mexico,Desconocido,Universidad Autónoma de Yucatán,MX,uady.mx
['http://www.uaed.edu.mx/'],Mexico,Desconocido,Universidad Autonoma España de Durango,MX,uaed.edu.mx
['http://www.uaemex.mx/'],Mexico,Desconocido,Universidad Autónoma del Estado de México,MX,uaemex.mx
['http://www.uaem.mx/'],Mexico,Desconocido,Universidad Autónoma del Estado de Morelos,MX,uaem.mx
['http://www.uaf.mx/'],Mexico,Desconocido,Universidad Autónoma de Fresnillo,MX,uaf.mx
['http://www.uag.mx/'],Mexico,Desconocido,Universidad Autónoma de Guadalajara,MX,uag.mx
['http://www.uagro.mx/'],Mexico,Desconocido,Universidad Autónoma de Guerrero,MX,uagro.mx
['http://www.ual.mx/'],Mexico,Desconocido,Universidad Autónoma de la Laguna,MX,ual.mx
['http://www.uam.mx/'],Mexico,Desconocido,Universidad Autónoma Metropolitana,MX,uam.mx
['http://www.uane.edu.mx/'],Mexico,Desconocido,Universidad Autónoma del Noreste,MX,uane.edu.mx
['http://www.uanl.mx/'],Mexico,Desconocido,Universidad Autónoma de Nuevo León,MX,uanl.mx
['http://www.uan.mx/'],Mexico,Desconocido,Universidad Autónoma de Nayarit,MX,uan.mx
['http://www.uaq.mx/'],Mexico,Desconocido,Universidad Autónoma de Querétaro,MX,uaq.mx
['http://www.uaslp.mx/'],Mexico,Desconocido,Universidad Autónoma de San Luis Potosí,MX,uaslp.mx
['http://www.uas.mx/'],Mexico,Desconocido,Universidad Anáhuac del Sur,MX,uas.mx
['http://www.uasnet.mx/'],Mexico,Desconocido,Universidad Autónoma de Sinaloa,MX,uasnet.mx
['http://www.uat.mx/'],Mexico,Desconocido,Universidad Autónoma de Tamaulipas,MX,uat.mx
['http://www.uatx.mx/'],Mexico,Desconocido,Universidad Autónoma de Tlaxcala,MX,uatx.mx
['http://www.ubac.edu.mx/'],Mexico,Desconocido,Universidad del Bajío,MX,ubac.edu.mx
['http://www.ucem.edu.mx/'],Mexico,Desconocido,Universidad del Centro de México,MX,ucem.edu.mx
['http://www.uclah.edu.mx/'],Mexico,Desconocido,Universidad Cientifica Latinoamericana de Hidalgo,MX,uclah.edu.mx
['http://www.ucol.mx/'],Mexico,Desconocido,Universidad de Colima,MX,ucol.mx
['http://www.udec.edu.mx/'],Mexico,Desconocido,Universidad de Celaya,MX,udec.edu.mx
['http://www.udeci.edu.mx/'],Mexico,Desconocido,Universidad de Cuautitlan Izcalli,MX,udeci.edu.mx
['http://www.udeh.edu.mx/'],Mexico,Desconocido,Universidad de Hermosillo,MX,udeh.edu.mx
['http://www.udem.edu.mx/'],Mexico,Desconocido,Universidad de Monterrey,MX,udem.edu.mx
['http://www.udesanmiguel.edu.mx/'],Mexico,Desconocido,Universidad de San Miguel,MX,udesanmiguel.edu.mx
['http://www.udg.mx/'],Mexico,Desconocido,Universidad de Guadalajara,MX,udg.mx
['http://www.udla.mx/'],Mexico,Desconocido,Universidad de las Américas,MX,udla.mx
['http://www.udlap.mx/'],Mexico,Desconocido,Universidad de las Américas - Puebla,MX,udlap.mx
['http://www.udo.mx/'],Mexico,Desconocido,Universidad de Occidente,MX,udo.mx
['http://www.udv.edu.mx/'],Mexico,Desconocido,Universidad Don Vasco,MX,udv.edu.mx
['http://www.ufm.edu.mx/'],Mexico,Desconocido,Universidad Franciscana de México,MX,ufm.edu.mx
['http://www.ufram.edu.mx/'],Mexico,Desconocido,Universidad Franco-Mexicana,MX,ufram.edu.mx
['http://www.ugto.mx/'],Mexico,Desconocido,Universidad de Guanajuato,MX,ugto.mx
['http://www.uia.mx/'],Mexico,Desconocido,Universidad Iberoamericana,MX,uia.mx
['http://www.uic.edu.mx/'],Mexico,Desconocido,Universidad Intercontinental,MX,uic.edu.mx
['http://www.uileon.edu.mx/'],Mexico,Desconocido,Universidad Insurgentes Plantel León,MX,uileon.edu.mx
['http://www.ujat.mx/'],Mexico,Desconocido,Universidad Juárez Autónoma de Tabasco,MX,ujat.mx
['http://www.ujed.mx/'],Mexico,Desconocido,Universidad Juárez del Estado de Durango,MX,ujed.mx
['http://www.ujsierra.mx/'],Mexico,Desconocido,Universidad Justo Sierra,MX,ujsierra.mx
['http://www.ula.edu.mx/'],Mexico,Desconocido,Universidad Latinoamericana,MX,ula.edu.mx
['http://www.ulsab.edu.mx/'],Mexico,Desconocido,Universidad Lasallista Benavente,MX,ulsab.edu.mx
['http://www.ulsac.edu.mx/'],Mexico,Desconocido,Universidad La Salle Cuernavaca,MX,ulsac.edu.mx
['http://www.ulsa.edu.mx/'],Mexico,Desconocido,Universidad La Salle,MX,ulsa.edu.mx
['http://www.umad.edu.mx/'],Mexico,Desconocido,Universidad Madero,MX,umad.edu.mx
['http://www.uman.edu.mx/'],Mexico,Desconocido,Universidad México Americana del Norte,MX,uman.edu.mx
['http://www.umar.mx/'],Mexico,Desconocido,Universidad del Mar,MX,umar.mx
['http://www.umich.mx/'],Mexico,Desconocido,Universidad Michoacana de San Nicolás de Hidalgo,MX,umich.mx
['http://www.umi.edu.mx/'],Mexico,Desconocido,Universidad México Internacional,MX,umi.edu.mx
['http://www.umla.edu.mx/'],Mexico,Desconocido,Universidad Metropolitana Latin Campus,MX,umla.edu.mx
['http://www.umm.edu.mx/'],Mexico,Desconocido,Universidad Metropolitana de Monterrey,MX,umm.edu.mx
['http://www.umne.edu.mx/'],Mexico,Desconocido,Universidad Mexicana del Noreste,MX,umne.edu.mx
['http://www.umontemorelos.edu.mx/'],Mexico,Desconocido,Universidad de Montemorelos,MX,umontemorelos.edu.mx
['http://www.umsa.edu.mx/'],Mexico,Desconocido,Universidad Mesoamericana de San Agustín,MX,umsa.edu.mx
['http://www.unacar.mx/'],Mexico,Desconocido,Universidad Autónoma del Carmen,MX,unacar.mx
['http://www.unach.mx/'],Mexico,Desconocido,Universidad Autónoma de Chiapas,MX,unach.mx
['http://www.unam.mx/'],Mexico,Desconocido,Universidad Nacional Autónoma de México,MX,unam.mx
['http://www.un.edu.mx/'],Mexico,Desconocido,Universidad del Norte,MX,un.edu.mx
['http://www.une.edu.mx/'],Mexico,Desconocido,Universidad del Noreste,MX,une.edu.mx
['http://www.unes.edu.mx/'],Mexico,Desconocido,Universidad España de Durango,MX,unes.edu.mx
['http://www.unicach.edu.mx/'],Mexico,Desconocido,Universidad de Ciencias y Artes de Chiapas,MX,unicach.edu.mx
['http://www.unica.edu.mx/'],Mexico,Desconocido,Universidad de Comunicación Avanzada,MX,unica.edu.mx
['http://www.unikino.mx/'],Mexico,Desconocido,Universidad Kino,MX,unikino.mx
['http://www.unimayab.edu.mx/'],Mexico,Desconocido,Universidad del Mayab,MX,unimayab.edu.mx
['http://www.unimex.edu.mx/'],Mexico,Desconocido,Universidad Mexicana,MX,unimex.edu.mx
['http://www.unitec.mx/'],Mexico,Desconocido,Universidad Tecnológica de México,MX,unitec.mx
['http://www.univa.mx/'],Mexico,Desconocido,Universidad del Valle de Atemajac,MX,univa.mx
['http://www.univas.edu.mx/'],Mexico,Desconocido,Universidad Jóse Vasconcelos,MX,univas.edu.mx
['http://www.univchapultepec.edu.mx/'],Mexico,Desconocido,Universidad Chapultepéc,MX,univchapultepec.edu.mx
['http://www.universidaddeleon.edu.mx/'],Mexico,Desconocido,Universidad de León,MX,universidaddeleon.edu.mx
['http://www.universidadlaconcordia.edu.mx/'],Mexico,Desconocido,Universidad la Concordia,MX,universidadlaconcordia.edu.mx
